table_name,column_name,data_type,is_nullable
academic_events,id,uuid,NO
academic_events,title,text,NO
academic_events,description,text,YES
academic_events,event_type,USER-DEFINED,NO
academic_events,start_date,timestamp with time zone,NO
academic_events,end_date,timestamp with time zone,NO
academic_events,is_published,boolean,YES
academic_events,created_by,uuid,NO
academic_events,created_at,timestamp with time zone,YES
academic_events,updated_at,timestamp with time zone,YES
announcements,id,uuid,NO
announcements,title,text,NO
announcements,content,text,NO
announcements,author_id,uuid,NO
announcements,target_roles,ARRAY,YES
announcements,is_published,boolean,YES
announcements,priority,text,YES
announcements,created_at,timestamp with time zone,YES
announcements,updated_at,timestamp with time zone,YES
assignment_submissions,id,uuid,NO
assignment_submissions,assignment_id,uuid,YES
assignment_submissions,student_id,uuid,YES
assignment_submissions,content,text,YES
assignment_submissions,file_url,text,YES
assignment_submissions,score,text,YES
assignment_submissions,feedback,text,YES
assignment_submissions,submitted_at,timestamp with time zone,YES
assignment_submissions,graded_at,timestamp with time zone,YES
assignment_submissions,file_path,text,YES
assignment_submissions,file_name,text,YES
assignment_submissions,file_size,integer,YES
assignment_submissions,mime_type,text,YES
assignment_submissions,student_files,jsonb,YES
assignment_submissions,feedback_files,jsonb,YES
assignments,id,uuid,NO
assignments,course_id,uuid,YES
assignments,title,text,NO
assignments,description,text,YES
assignments,due_date,timestamp with time zone,YES
assignments,max_score,numeric,YES
assignments,is_published,boolean,YES
assignments,created_at,timestamp with time zone,YES
assignments,updated_at,timestamp with time zone,YES
attendance,id,uuid,NO
attendance,course_id,uuid,YES
attendance,student_id,uuid,YES
attendance,date,date,NO
attendance,status,text,YES
attendance,notes,text,YES
attendance,recorded_by,uuid,YES
attendance,created_at,timestamp with time zone,YES
attendance,classroom_id,uuid,YES
attendance,recorded_at,timestamp with time zone,YES
chatbot_conversations,id,uuid,NO
chatbot_conversations,user_id,uuid,YES
chatbot_conversations,message,text,NO
chatbot_conversations,response,text,NO
chatbot_conversations,category,text,YES
chatbot_conversations,created_at,timestamp with time zone,YES
course_enrollments,id,uuid,NO
course_enrollments,modulo_id,uuid,NO
course_enrollments,student_id,uuid,NO
course_enrollments,matricula_id,uuid,YES
course_enrollments,tipo_estudiante,text,YES
course_enrollments,enrolled_at,timestamp with time zone,YES
course_enrollments,is_active,boolean,YES
course_enrollments_old,id,uuid,NO
course_enrollments_old,course_id,uuid,YES
course_enrollments_old,student_id,uuid,YES
course_enrollments_old,enrolled_at,timestamp with time zone,YES
course_events,id,uuid,NO
course_events,course_id,uuid,NO
course_events,title,text,NO
course_events,description,text,YES
course_events,event_type,text,NO
course_events,start_date,timestamp with time zone,NO
course_events,end_date,timestamp with time zone,NO
course_events,location,text,YES
course_events,is_published,boolean,YES
course_events,created_by,uuid,NO
course_events,created_at,timestamp with time zone,YES
course_events,updated_at,timestamp with time zone,YES
course_forum_posts,id,uuid,NO
course_forum_posts,topic_id,uuid,NO
course_forum_posts,content,text,NO
course_forum_posts,created_by,uuid,NO
course_forum_posts,parent_post_id,uuid,YES
course_forum_posts,created_at,timestamp with time zone,YES
course_forum_posts,updated_at,timestamp with time zone,YES
course_forum_topics,id,uuid,NO
course_forum_topics,course_id,uuid,NO
course_forum_topics,title,text,NO
course_forum_topics,description,text,YES
course_forum_topics,created_by,uuid,NO
course_forum_topics,is_pinned,boolean,YES
course_forum_topics,is_locked,boolean,YES
course_forum_topics,created_at,timestamp with time zone,YES
course_forum_topics,updated_at,timestamp with time zone,YES
course_modules,id,uuid,NO
course_modules,course_id,uuid,NO
course_modules,title,text,NO
course_modules,description,text,YES
course_modules,position,integer,NO
course_modules,is_published,boolean,YES
course_modules,created_at,timestamp with time zone,YES
course_modules,updated_at,timestamp with time zone,YES
course_resources,id,uuid,NO
course_resources,module_id,uuid,NO
course_resources,title,text,NO
course_resources,description,text,YES
course_resources,resource_type,text,NO
course_resources,resource_url,text,YES
course_resources,file_size,integer,YES
course_resources,position,integer,NO
course_resources,is_published,boolean,YES
course_resources,created_at,timestamp with time zone,YES
course_teachers,id,uuid,NO
course_teachers,course_id,uuid,NO
course_teachers,teacher_id,uuid,NO
course_teachers,is_primary,boolean,YES
course_teachers,created_at,timestamp with time zone,YES
course_weekly_resources,id,uuid,NO
course_weekly_resources,section_id,uuid,NO
course_weekly_resources,title,text,NO
course_weekly_resources,description,text,YES
course_weekly_resources,resource_type,text,NO
course_weekly_resources,resource_url,text,YES
course_weekly_resources,file_size,integer,YES
course_weekly_resources,mime_type,text,YES
course_weekly_resources,is_published,boolean,YES
course_weekly_resources,position,integer,NO
course_weekly_resources,settings,jsonb,YES
course_weekly_resources,created_at,timestamp with time zone,YES
course_weekly_resources,updated_at,timestamp with time zone,YES
course_weekly_resources,file_path,text,YES
course_weekly_resources,allows_student_submissions,boolean,YES
course_weekly_resources,assignment_deadline,timestamp with time zone,YES
course_weekly_resources,max_score,numeric,YES
course_weekly_resources,assignment_id,uuid,YES
course_weekly_resources,teacher_files,jsonb,YES
course_weekly_sections,id,uuid,NO
course_weekly_sections,course_id,uuid,NO
course_weekly_sections,week_number,integer,NO
course_weekly_sections,title,text,NO
course_weekly_sections,description,text,YES
course_weekly_sections,start_date,date,YES
course_weekly_sections,end_date,date,YES
course_weekly_sections,is_published,boolean,YES
course_weekly_sections,position,integer,NO
course_weekly_sections,created_at,timestamp with time zone,YES
course_weekly_sections,updated_at,timestamp with time zone,YES
courses,id,uuid,NO
courses,name,text,NO
courses,description,text,YES
courses,code,text,NO
courses,program_id,uuid,NO
courses,teacher_principal_id,uuid,NO
courses,academic_year,text,NO
courses,semester,text,NO
courses,is_active,boolean,YES
courses,start_date,date,NO
courses,end_date,date,YES
